Title,Authors,Publisher,Publication Date,Place of Publication,Edition,Categories,Language,ISBN-10,Price,Monetary Units,Quantity,Book Binding Type,Location,ISBN-13,LC Control Number,Call Number,Dewey Class Number,Availability,Total Reserved,Originality,Condition,Accession Number
An introduction to mathematical cryptography,"Hoffstein, Jeffrey. Pipher, Jill Catherine Silverman, Joseph H.",Springer,01/01/2008,London,1,Coding theory. Cryptography.,English,0387779930,0.00,Dollar,1,Hardcover,Home,9780387779935,2008923038,QA268.H64 2008,003.54,1,0,Original,As New,
Handbook of applied cryptography,"Menezes, A. J. Van Oorschot, Paul C. Vanstone, Scott A.",CRC Press,01/01/1997,Boca Raton,1,Computers. Cryptography.,English,0849385237,0.00,Dollar,1,Hardcover,Home,9780849385230,96027609,QA76.9.A25 M463 1997,005.8/2,1,0,Original,As New,
Introduction to modern cryptography,"Katz, Jonathan Lindell, Yehuda.",Taylor & Francis,01/01/2014,Boca Raton,1,Computer security. Cryptography. COMPUTERS / Operating Systems / General. COMPUTERS / Security / Cryptography. MATHEMATICS / Combinatorics.,English,1466570261,0.00,Dollar,1,Hardcover,Home,9781466570269,2014039042,QA76.9.A25 K36 2014,005.8/2,1,0,Original,As New,
Understanding cryptography : a textbook for students and practitioners,"Paar, Christof Pelzl, Jan.",Springer,01/01/2010,Heidelberg New York,1,Cryptography. Data encryption (Computer science),English,3642041000,0.00,Dollar,1,Hardcover,Home,9783642041006,2009940447,Z104 .P33 2010,005.82,1,0,Original,As New,
